Date,Time,Open,High,Low,Close,Volume,Target
2012.10.25,0:00,0.9652,0.9684,0.9642,0.9674,56681,0.9663 
2012.10.26,0:00,0.9674,0.9702,0.9637,0.9683,60710,0.9670 
2012.10.29,0:00,0.9678,0.9706,0.9666,0.9672,52751,0.9686 
2012.10.30,0:00,0.9673,0.97,0.9647,0.9658,55171,0.9674 
2012.10.31,0:00,0.9658,0.9682,0.9629,0.9665,63638,0.9656 
2012.11.01,0:00,0.9664,0.9702,0.9648,0.9687,62195,0.9675 
2012.11.02,0:00,0.9688,0.9766,0.9687,0.9709,64331,0.9727 
2012.11.05,0:00,0.9731,0.9787,0.9722,0.9776,63685,0.9755 
2012.11.06,0:00,0.9776,0.9855,0.9773,0.9835,71369,0.9814 
2012.11.07,0:00,0.9834,0.9876,0.9809,0.9831,89162,0.9843 
2012.11.08,0:00,0.9831,0.9885,0.9817,0.9838,82102,0.9851 
2012.11.09,0:00,0.9838,0.9864,0.9823,0.9847,80512,0.9844 
2012.11.12,0:00,0.9861,0.9898,0.9837,0.9884,62593,0.9868 
2012.11.13,0:00,0.9884,0.9903,0.9861,0.9882,75109,0.9882 
2012.11.14,0:00,0.9883,0.9896,0.9791,0.9802,74449,0.9844 
2012.11.15,0:00,0.9801,0.9809,0.9706,0.973,72938,0.9758 
2012.11.16,0:00,0.9731,0.9784,0.9727,0.9771,67304,0.9756 
2012.11.19,0:00,0.9778,0.9816,0.9769,0.9784,61365,0.9793 
2012.11.20,0:00,0.9783,0.9816,0.9743,0.9763,66269,0.9780 
2012.11.21,0:00,0.9763,0.9791,0.9708,0.9729,64043,0.9750 
2012.11.22,0:00,0.973,0.9745,0.9692,0.9711,62694,0.9719 
2012.11.23,0:00,0.9712,0.973,0.9694,0.9699,61737,0.9712 
2012.11.26,0:00,0.9703,0.9716,0.9694,0.9704,59148,0.9705 
2012.11.27,0:00,0.9704,0.9747,0.9688,0.9715,65255,0.9718 
2012.11.28,0:00,0.9716,0.9751,0.9709,0.9731,66842,0.9730 
2012.11.29,0:00,0.973,0.9735,0.9662,0.9673,59144,0.9699 
2012.11.30,0:00,0.9674,0.9681,0.9641,0.9672,64282,0.9661 
2012.12.03,0:00,0.9674,0.9677,0.9621,0.9642,61998,0.9649 
2012.12.04,0:00,0.9642,0.9729,0.9636,0.9698,64359,0.9683 
2012.12.05,0:00,0.9698,0.9734,0.9676,0.9683,54934,0.9705 
2012.12.06,0:00,0.9682,0.9793,0.9667,0.9773,64789,0.9730 
2012.12.07,0:00,0.9773,0.9819,0.9759,0.9794,61192,0.9789 
2012.12.10,0:00,0.9823,0.9825,0.978,0.9786,56049,0.9803 
2012.12.11,0:00,0.9787,0.9823,0.9766,0.9812,59637,0.9795 
2012.12.12,0:00,0.9812,0.983,0.9768,0.9773,60761,0.9799 
2012.12.13,0:00,0.9773,0.9779,0.9708,0.9719,61059,0.9744 
2012.12.14,0:00,0.9719,0.9738,0.9687,0.969,61702,0.9713 
2012.12.17,0:00,0.9667,0.9693,0.9655,0.9678,59096,0.9674 
2012.12.18,0:00,0.9677,0.9682,0.9605,0.9614,57650,0.9644 
2012.12.19,0:00,0.9614,0.9615,0.9529,0.9569,62645,0.9572 
2012.12.20,0:00,0.9569,0.959,0.9518,0.9551,62821,0.9554 
2012.12.21,0:00,0.9552,0.9562,0.951,0.9514,67578,0.9536 
2012.12.24,0:00,0.9526,0.9539,0.9477,0.9498,41073,0.9508 
2012.12.26,0:00,0.9484,0.9489,0.9442,0.9474,39524,0.9466 
2012.12.27,0:00,0.9474,0.9487,0.9431,0.9474,62850,0.9459 
2012.12.28,0:00,0.9473,0.9527,0.9452,0.9471,62400,0.9490 
2012.12.31,0:00,0.9462,0.9515,0.9448,0.9511,52519,0.9482 
2013.01.02,0:00,0.9539,0.9646,0.9523,0.9638,56643,0.9585 
2013.01.03,0:00,0.9638,0.9715,0.9625,0.9696,69925,0.9670 
2013.01.04,0:00,0.9696,0.9706,0.9658,0.9685,75014,0.9682 
2013.01.07,0:00,0.9684,0.9739,0.966,0.9672,69479,0.9700 
2013.01.08,0:00,0.9673,0.9705,0.9645,0.9703,68232,0.9675 
2013.01.09,0:00,0.9703,0.976,0.9692,0.9725,69425,0.9726 
2013.01.10,0:00,0.9725,0.978,0.9671,0.9684,75301,0.9726 
2013.01.11,0:00,0.9684,0.9701,0.9605,0.9619,77402,0.9653 
2013.01.14,0:00,0.963,0.9746,0.9605,0.9737,74114,0.9676 
2013.01.15,0:00,0.9737,0.9845,0.9723,0.9842,85016,0.9784 
2013.01.16,0:00,0.9841,0.9852,0.9789,0.9838,77514,0.9821 
2013.01.17,0:00,0.9839,0.9861,0.9773,0.9831,82219,0.9817 
2013.01.18,0:00,0.9831,0.9873,0.9762,0.9807,85656,0.9818 
2013.01.21,0:00,0.9822,0.9828,0.9786,0.9803,64395,0.9807 
2013.01.22,0:00,0.9802,0.9844,0.9789,0.9814,80504,0.9817 
2013.01.23,0:00,0.9814,0.9831,0.9779,0.9806,73380,0.9805 
2013.01.24,0:00,0.9806,0.9806,0.9699,0.9703,80465,0.9753 
2013.01.25,0:00,0.9703,0.9731,0.9623,0.965,80956,0.9677 
2013.01.28,0:00,0.9652,0.9681,0.9618,0.9645,70893,0.9650 
2013.01.29,0:00,0.9645,0.9683,0.961,0.9647,74187,0.9647 
2013.01.30,0:00,0.9647,0.9661,0.9475,0.9484,75079,0.9568 
2013.01.31,0:00,0.9484,0.9514,0.9433,0.9485,74687,0.9474 
2013.02.01,0:00,0.9485,0.9494,0.9374,0.9443,83524,0.9434 
2013.02.04,0:00,0.9466,0.9512,0.9447,0.9477,69636,0.9480 
2013.02.05,0:00,0.9477,0.951,0.942,0.9433,78011,0.9465 
2013.02.06,0:00,0.9433,0.9442,0.9365,0.9387,78335,0.9404 
2013.02.07,0:00,0.9387,0.9477,0.9355,0.9438,78867,0.9416 
2013.02.08,0:00,0.9438,0.9492,0.9417,0.9458,72679,0.9455 
2013.02.11,0:00,0.9461,0.9469,0.9402,0.9434,66115,0.9436 
2013.02.12,0:00,0.9435,0.9462,0.9373,0.9447,72565,0.9418 
2013.02.13,0:00,0.9448,0.9515,0.9443,0.9504,66370,0.9479 
